,OFS,Commune,District,Population,Area,Density,Latitude,Longitude
0,5621,Aclens,Morges,535,3.9,137,46.5680294,6.51076
1,5742,Agiez,Jura-Nord vaudois,327,5.47,60,46.7199018,6.508106
2,5401,Aigle,Aigle,10134,16.41,618,46.3179006,6.9688929
3,5851,Allaman,Morges,434,2.6,167,46.4707776,6.396174
4,5421,Apples,Morges,1469,12.93,114,46.5516727,6.4267658
5,5701,Arnex-sur-Nyon,Nyon,235,2.04,115,46.3759907,6.1913819
6,5743,Arnex-sur-Orbe,Jura-Nord vaudois,631,7.61,83,46.6883074,6.515294727707008
7,5702,Arzier-Le Muids,Nyon,2697,51.91,52,46.4599808,6.208069
8,5511,Assens,Gros-de-Vaud,1077,5.35,201,46.6127871,6.6225936
9,5422,Aubonne,Morges,3242,6.87,472,46.4952916,6.3915748
10,5451,Avenches,Broye-Vully,4282,17.56,244,46.879575,7.040941
11,5744,Ballaigues,Jura-Nord vaudois,1075,9.03,119,46.7305278,6.4132441
12,5423,Ballens,Morges,536,8.48,63,46.5542745,6.3750843
13,5703,Bassins,Nyon,1347,20.79,65,46.464053,6.2316394
14,5745,Baulmes,Jura-Nord vaudois,1027,22.53,46,46.7903981,6.5212523
15,5746,Bavois,Jura-Nord vaudois,942,9.34,101,46.6852168,6.5651139
16,5704,Begnins,Nyon,1952,4.78,408,46.4424616,6.2471998
17,5581,Belmont-sur-Lausanne,Lavaux-Oron,3732,2.65,1408,46.5200729,6.6800519
18,5902,Belmont-sur-Yverdon,Jura-Nord vaudois,384,6.47,59,46.73814565,6.626207143492155
19,5512,Bercher,Gros-de-Vaud,1239,4.25,292,46.6920285,6.7089748
20,5424,Berolle,Morges,307,9.6,32,46.5583845,6.3373241
21,5471,Bettens,Gros-de-Vaud,592,3.75,158,46.6275904,6.5770883
22,5402,Bex,Aigle,7757,96.56,80,46.2513776,7.0123881
23,5425,Bière,Morges,1595,25.01,64,46.5373773,6.3337235
24,5903,Bioley-Magnoux,Jura-Nord vaudois,225,4.27,53,46.7255605,6.7108156
25,5513,Bioley-Orjulaz,Gros-de-Vaud,516,3.11,166,46.6211356,6.5984553
26,5881,Blonay,Riviera-Pays-d'Enhaut,6175,16.09,384,46.4650397,6.8951981
27,5747,Bofflens,Jura-Nord vaudois,196,4.22,46,46.7045569,6.4989467
28,5705,Bogis-Bossey,Nyon,867,2.45,354,46.3515732,6.1648147
29,5551,Bonvillars,Jura-Nord vaudois,505,7.54,67,46.8375743,6.6706023
30,5706,Borex,Nyon,1140,1.98,576,46.379071,6.1777222
31,5514,Bottens,Gros-de-Vaud,1298,6.89,188,46.6169088,6.6607269
32,5426,Bougy-Villars,Morges,490,1.77,277,46.4787593,6.3545367
33,5661,Boulens,Gros-de-Vaud,384,3.44,112,46.681059,6.7192139
34,5613,Bourg-en-Lavaux,Lavaux-Oron,5367,9.65,556,46.50476465,6.7321748804798105
35,5472,Bournens,Gros-de-Vaud,404,3.9,104,46.6041672,6.5633012
36,5473,Boussens,Gros-de-Vaud,968,3.15,307,46.6023159,6.5846332
37,5622,Bremblens,Morges,548,2.9,189,46.5461677,6.51777
38,5515,Bretigny-sur-Morrens,Gros-de-Vaud,843,2.86,295,46.603088,6.642508043369688
39,5748,Bretonnières,Jura-Nord vaudois,265,5.45,49,46.71377845,6.472213605959768
40,5623,Buchillon,Morges,650,2.13,305,46.4702466,6.4230108
41,5552,Bullet,Jura-Nord vaudois,655,16.83,39,46.8309314,6.5546431
42,5852,Bursinel,Nyon,471,1.77,266,46.438423,6.3053467
43,5853,Bursins,Nyon,752,3.37,223,46.4515535,6.2906369
44,5854,Burtigny,Nyon,391,5.68,69,46.4687203,6.2567707
45,5624,Bussigny,Ouest lausannois,8759,4.82,1817,46.5512503,6.553745
46,5625,Bussy-Chardonney,Morges,376,3.05,123,46.5291113,6.4419818
47,5663,Bussy-sur-Moudon,Broye-Vully,214,3.09,69,46.6912116,6.810967003431726
48,5904,Chamblon,Jura-Nord vaudois,542,2.86,190,46.7772764,6.6044112
49,5553,Champagne,Jura-Nord vaudois,1034,3.92,264,46.8302611,6.6580976
50,5812,Champtauroz,Broye-Vully,122,3.05,40,46.760598,6.789151
51,5905,Champvent,Jura-Nord vaudois,685,9.04,76,46.7828052,6.5726094
52,5882,Chardonne,Riviera-Pays-d'Enhaut,2941,10.32,285,46.4770903,6.8271259
53,5841,Château-d'Œx,Riviera-Pays-d'Enhaut,3460,113.71,30,46.4739581,7.13056
54,5707,Chavannes-de-Bogis,Nyon,1281,2.85,449,46.3446425,6.1625796
55,5708,Chavannes-des-Bois,Nyon,964,2.14,450,46.3147141,6.132561
56,5907,Chavannes-le-Chêne,Jura-Nord vaudois,308,3.98,77,46.7768814,6.7780279
57,5475,Chavannes-le-Veyron,Morges,142,2.63,54,46.60645,6.4509017
58,5627,Chavannes-près-Renens,Ouest lausannois,7741,1.65,4692,46.5293467,6.572993454923568
59,5665,Chavannes-sur-Moudon,Broye-Vully,216,5.14,42,46.66128225,6.818579135905075
60,5749,Chavornay,Jura-Nord vaudois,4996,19.29,259,46.7101091,6.564186303935761
61,5908,Chêne-Pâquier,Jura-Nord vaudois,141,2.12,67,46.771165,6.7684976
62,5909,Cheseaux-Noréaz,Jura-Nord vaudois,721,6.03,120,46.7820326,6.6718258
63,5582,Cheseaux-sur-Lausanne,Lausanne,4338,4.59,945,46.584282349999995,6.599124803950971
64,5709,Chéserex,Nyon,1227,10.56,116,46.3997632,6.1737875
65,5403,Chessel,Aigle,426,3.57,119,46.3495725,6.8944469
66,5476,Chevilly,Morges,314,3.87,81,46.642766,6.4771672
67,5813,Chevroux,Broye-Vully,480,4.37,110,46.8898441,6.9053929
68,5601,Chexbres,Lavaux-Oron,2238,2.14,1046,46.4809505,6.7803021
69,5628,Chigny,Morges,358,0.9,398,46.5201861,6.4773257
70,5629,Clarmont,Morges,190,1.0,190,46.5474321,6.4501584
71,5710,Coinsins,Nyon,499,2.91,171,46.4245995,6.2359205
72,5711,Commugny,Nyon,2877,6.51,442,46.3182308,6.1757684
