,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Aclens,46.5680294,6.51076,Auberge Communcale d'Aclens,46.56781304341187,6.509564413908759,Restaurant
1,Agiez,46.7199018,6.508106,Le Normand,46.719919,6.507214,Diner
2,Aigle,46.3179006,6.9688929,Restaurant Xiang Long,46.31730746190541,6.970088803084121,Chinese Restaurant
3,Aigle,46.3179006,6.9688929,Le Mondial,46.31767868279462,6.966800069608517,Falafel Restaurant
4,Aigle,46.3179006,6.9688929,Thai Basilic,46.318909320637076,6.968447659248217,Thai Restaurant
5,Aigle,46.3179006,6.9688929,Bar 118,46.31731512752565,6.9690483831102314,Diner
6,Aigle,46.3179006,6.9688929,Pizzeria des Alpes,46.319163,6.968413,Pizza Place
7,Aigle,46.3179006,6.9688929,Buffet de la Gare,46.3169,6.96443,Food
8,Aigle,46.3179006,6.9688929,café pizzeria des petits trains,46.31670066162415,6.964220338066571,Café
9,Allaman,46.4707776,6.396174,Restaurant du Chasseur,46.469627,6.396397,Argentinian Restaurant
10,Apples,46.5516727,6.4267658,Restaurant la Pomme d'Or,46.55221336231452,6.4289202887436,Restaurant
11,Apples,46.5516727,6.4267658,Auberge De La Couronne,46.551334,6.428351,Swiss Restaurant
12,Arzier-Le Muids,46.4599808,6.208069,Auberge de l'Union,46.45992995064908,6.2082624435424805,French Restaurant
13,Arzier-Le Muids,46.4599808,6.208069,Auberge Communale L'Union Arzier,46.45985604375634,6.208391189575195,Swiss Restaurant
14,Assens,46.6127871,6.6225936,Restaurant Major Davel,46.61380407626722,6.624131830151104,Diner
15,Aubonne,46.4952916,6.3915748,L'Esplanade,46.492633,6.395722,French Restaurant
16,Aubonne,46.4952916,6.3915748,Hôtel Café du Commerce,46.49486602279323,6.391736291630966,French Restaurant
17,Aubonne,46.4952916,6.3915748,Tartines et Chocolat,46.496012,6.39056,Bakery
18,Aubonne,46.4952916,6.3915748,Fleur De Pain,46.493892,6.39332,Bakery
19,Avenches,46.879575,7.040941,Restaurant Des Arcades,46.879516810315494,7.039693512027408,Swiss Restaurant
20,Avenches,46.879575,7.040941,Girasol,46.88025118766613,7.041024380144771,Deli / Bodega
21,Avenches,46.879575,7.040941,Pizzeria La Vendetta,46.88073,7.0419807,Pizza Place
22,Avenches,46.879575,7.040941,Entre Terre et Mer,46.88080077873218,7.041556516950262,Burrito Place
