,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Aclens,46.5680294,6.51076,Auberge Communcale d'Aclens,46.56781304341187,6.509564413908759,Restaurant
1,Aclens,46.5680294,6.51076,Centrale De Distribution COOP,46.56570769446138,6.523242303992845,Snack Place
2,Aclens,46.5680294,6.51076,La Pause,46.561356,6.521865,Diner
3,Aclens,46.5680294,6.51076,Restaurant Du Moulin,46.562374010804355,6.524105209851519,Diner
4,Agiez,46.7199018,6.508106,Le Normand,46.719919,6.507214,Diner
5,Agiez,46.7199018,6.508106,restaurant de la treille,46.73280785997693,6.510154754984342,Restaurant
6,Agiez,46.7199018,6.508106,La Charrue,46.722407,6.532079,Pizza Place
7,Agiez,46.7199018,6.508106,Khaow Hom Thai,46.72525029392391,6.5312366441307,Thai Restaurant
8,Agiez,46.7199018,6.508106,Restaurant La Charrue,46.731624,6.525993,Restaurant
9,Agiez,46.7199018,6.508106,Cafe National,46.72314981035607,6.532410994385549,Café
10,Agiez,46.7199018,6.508106,Restaurant Grivet,46.724178,6.532123,Restaurant
11,Agiez,46.7199018,6.508106,Au Cheval Blanc,46.72646463890824,6.5313865098565085,Restaurant
12,Agiez,46.7199018,6.508106,Guign’art,46.725679,6.532154,Bakery
13,Aigle,46.3179006,6.9688929,Michelangelo,46.320687,6.959816,Italian Restaurant
14,Aigle,46.3179006,6.9688929,L'usine,46.307949116339245,6.967814585125875,Bistro
15,Aigle,46.3179006,6.9688929,Restaurant Xiang Long,46.31730746190541,6.970088803084121,Chinese Restaurant
16,Aigle,46.3179006,6.9688929,Le Mondial,46.31767868279462,6.966800069608517,Falafel Restaurant
17,Aigle,46.3179006,6.9688929,Thai Basilic,46.318909320637076,6.968447659248217,Thai Restaurant
18,Aigle,46.3179006,6.9688929,Bar 118,46.31731512752565,6.9690483831102314,Diner
19,Aigle,46.3179006,6.9688929,Pizzeria des Alpes,46.319163,6.968413,Pizza Place
20,Aigle,46.3179006,6.9688929,Buffet de la Gare,46.3169,6.96443,Food
21,Aigle,46.3179006,6.9688929,café pizzeria des petits trains,46.31670066162415,6.964220338066571,Café
22,Aigle,46.3179006,6.9688929,Pinte du Paradis,46.314967754262284,6.975769146537114,Food
23,Aigle,46.3179006,6.9688929,Restaurant Le Torrent Sàrl,46.33173,6.958913,Swiss Restaurant
24,Allaman,46.4707776,6.396174,Restaurant du Chasseur,46.469627,6.396397,Argentinian Restaurant
25,Allaman,46.4707776,6.396174,Auberge des Grands-Bois,46.470202006894105,6.408418648466566,Italian Restaurant
26,Allaman,46.4707776,6.396174,IKEA Restaurant,46.476762,6.396316,Scandinavian Restaurant
27,Allaman,46.4707776,6.396174,Duchessa,46.473909,6.416348,Italian Restaurant
28,Allaman,46.4707776,6.396174,Restaurant La Pêcherie,46.46507555909578,6.382504933075813,Seafood Restaurant
29,Allaman,46.4707776,6.396174,Restaurant Pizzeria de la Gare d’Allaman,46.47627083,6.3994185,Pizza Place
30,Allaman,46.4707776,6.396174,Istanbul Kebab,46.47683634301146,6.402671266089465,Falafel Restaurant
31,Allaman,46.4707776,6.396174,Sabai Thai,46.473951,6.408611,Thai Restaurant
32,Allaman,46.4707776,6.396174,Le Coin,46.47436925650753,6.417998725519469,Greek Restaurant
33,Apples,46.5516727,6.4267658,Auberge De La Couronne,46.551334,6.428351,Swiss Restaurant
34,Apples,46.5516727,6.4267658,Les Marmitons Du Terroir,46.558717,6.432974,Restaurant
35,Apples,46.5516727,6.4267658,Credit Agricole Pantry @ MBC,46.559105,6.432179,Cafeteria
36,Apples,46.5516727,6.4267658,Café du Promeneur,46.54165937612135,6.438811719417571,Bistro
37,Arnex-sur-Nyon,46.3759907,6.1913819,The Kitchen,46.38432104240655,6.214107313155535,Swiss Restaurant
38,Arnex-sur-Nyon,46.3759907,6.1913819,La Ferme,46.378332,6.176326,Diner
39,Arnex-sur-Nyon,46.3759907,6.1913819,Ecusson-Vaudois,46.380897,6.205879,Swiss Restaurant
40,Arnex-sur-Nyon,46.3759907,6.1913819,PInte Communale de Signy,46.3906911,6.2021850999999515,Swiss Restaurant
41,Arnex-sur-Orbe,46.6883074,6.515294727707008,Toucan,46.694443,6.519075,Gluten-free Restaurant
42,Arzier-Le Muids,46.4599808,6.208069,Auberge de l'Union,46.45992995064908,6.2082624435424805,French Restaurant
43,Arzier-Le Muids,46.4599808,6.208069,Auberge Communale L'Union Arzier,46.45985604375634,6.208391189575195,Swiss Restaurant
44,Arzier-Le Muids,46.4599808,6.208069,Chalet d'alpage Les Croisettes,46.44591008660358,6.216237032842096,Restaurant
45,Arzier-Le Muids,46.4599808,6.208069,Genolier Restaurant,46.445051906741725,6.216981849926566,French Restaurant
46,Assens,46.6127871,6.6225936,Restaurant Major Davel,46.61380407626722,6.624131830151104,Diner
47,Assens,46.6127871,6.6225936,Restaurant Le Moulin d'Assens,46.614638,6.639044,Swiss Restaurant
48,Assens,46.6127871,6.6225936,Tai Po,46.601206,6.613702,Chinese Restaurant
49,Assens,46.6127871,6.6225936,Auberge D'Etagnière,46.59985761447883,6.613099875866644,Steakhouse
50,Aubonne,46.4952916,6.3915748,L'Esplanade,46.492633,6.395722,French Restaurant
51,Aubonne,46.4952916,6.3915748,Hôtel Café du Commerce,46.49486602279323,6.391736291630966,French Restaurant
52,Aubonne,46.4952916,6.3915748,Le Tavernier,46.495621,6.391621,Tapas Restaurant
53,Aubonne,46.4952916,6.3915748,Tartines et Chocolat,46.496012,6.39056,Bakery
54,Aubonne,46.4952916,6.3915748,La Toscane,46.5074,6.387108,Restaurant
55,Aubonne,46.4952916,6.3915748,L'Union,46.507674,6.387521,Café
56,Aubonne,46.4952916,6.3915748,O'fruitier Marche à la ferme,46.48179834902005,6.401639808460092,Deli / Bodega
57,Aubonne,46.4952916,6.3915748,Auberge Communale De Montherod,46.498895253088996,6.3664952201242855,Pizza Place
58,Aubonne,46.4952916,6.3915748,"Restaurant ""Les Platanes""",46.490597,6.416368,Cafeteria
59,Avenches,46.879575,7.040941,Entre Terre et Mer,46.88080077873218,7.041556516950262,Burrito Place
60,Avenches,46.879575,7.040941,Restaurant des Maure,46.879674,7.040842,Swiss Restaurant
61,Avenches,46.879575,7.040941,Restaurant Des Arcades,46.879516810315494,7.039693512027408,Swiss Restaurant
62,Avenches,46.879575,7.040941,La Romana,46.88429244697108,7.040949487656909,Diner
63,Avenches,46.879575,7.040941,Restaurant des Bains,46.883392,7.045397,Restaurant
64,Avenches,46.879575,7.040941,Boulangerie Pâtisserie Aeby,46.87937560034161,7.024369446978878,Bakery
